SeasonEndYear,Squad,Comp,Player,Sh_Standard,SoT_Standard,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Final_Third,PPA,SCA_SCA,TO_SCA,PassLive_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,PassLive_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,TklW_Tackles,def_3rd_tackles,mid_3rd_tackles,att_3rd_tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,tkl_plus_int,Clr,Err
2024,Arsenal,Premier League,Gabriel Dos Santos,21,9,1430,1608,88.9,24575,8037,119,5,16,0,14,1,0,0,1,1,0,0,0,0,16,18,13,1,13,16,81.3,34,25,9,22,54,60,0
2024,Arsenal,Premier League,Mohamed Elneny,2,1,39,40,97.5,624,147,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2024,Arsenal,Premier League,Kai Havertz,35,10,542,656,82.6,6993,1694,47,19,63,2,52,4,4,1,14,9,2,2,1,0,11,3,16,6,11,29,37.9,20,1,19,14,39,13,0
2024,Arsenal,Premier League,Gabriel Jesus,42,17,311,394,78.9,4210,721,13,15,42,5,27,5,2,2,6,3,1,1,0,0,13,10,4,5,3,13,23.1,16,1,15,7,26,7,0
2024,Arsenal,Premier League,Jorginho,4,0,545,607,89.8,8914,2550,64,15,17,0,16,1,0,0,4,4,0,0,0,0,7,6,5,7,9,19,47.4,14,1,13,8,26,4,1
2024,Arsenal,Premier League,Jakub Kiwior,6,2,425,497,85.5,6986,2480,36,5,9,0,7,0,0,0,4,3,0,0,0,0,12,8,8,1,13,16,81.3,7,2,5,6,23,25,0
2024,Arsenal,Premier League,Gabriel Martinelli,49,15,650,832,78.1,9984,1826,22,31,81,11,53,8,1,2,11,7,1,2,0,0,15,3,7,9,8,17,47.1,18,1,17,4,23,5,1
2024,Arsenal,Premier League,Reiss Nelson,3,1,89,106,84,1250,230,1,4,6,0,5,0,0,0,0,0,0,0,0,0,5,4,1,3,8,9,88.9,3,1,2,1,9,5,0
2024,Arsenal,Premier League,Eddie Nketiah,36,11,164,208,78.8,2271,259,7,5,27,3,16,5,3,0,8,3,1,1,3,0,7,2,6,4,2,7,28.6,11,0,11,4,16,3,0
2024,Arsenal,Premier League,Ethan Nwaneri,0,0,15,18,83.3,209,56,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,0
2024,Arsenal,Premier League,Thomas Partey,2,1,260,288,90.3,4187,1156,29,8,10,0,10,0,0,0,2,2,0,0,0,0,5,5,1,0,4,6,66.7,2,1,1,4,10,2,0
2024,Arsenal,Premier League,Aaron Ramsdale,0,0,113,151,74.8,2697,1943,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,3,1
2024,Arsenal,Premier League,David Raya,0,0,547,719,76.1,12814,8810,21,0,3,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,100,0,0,0,0,1,6,4
2024,Arsenal,Premier League,Declan Rice,37,13,1642,1823,90.1,28022,7542,204,23,65,2,50,2,0,2,7,3,0,0,0,0,34,27,21,6,24,41,58.5,30,9,21,35,89,42,0
2024,Arsenal,Premier League,Bukayo Saka,74,24,878,1161,75.6,13272,3338,28,54,142,6,102,9,3,1,16,11,1,1,1,0,26,18,15,16,20,45,44.4,37,2,35,10,59,14,1
2024,Arsenal,Premier League,William Saliba,8,2,2012,2171,92.7,33998,12293,132,5,23,0,22,1,0,0,3,3,0,0,0,0,16,15,10,1,13,15,86.7,20,10,10,21,47,55,2
2024,Arsenal,Premier League,Emile Smith Rowe,10,4,126,143,88.1,1715,345,9,9,8,0,6,0,1,0,2,1,0,0,0,0,0,2,1,0,2,4,50,3,1,2,1,4,0,0
2024,Arsenal,Premier League,Cédric Soares,0,0,60,69,87,905,157,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
2024,Arsenal,Premier League,Jurriën Timber,0,0,44,49,89.8,654,152,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,0,0,0,0,1,1,0
2024,Arsenal,Premier League,Takehiro Tomiyasu,8,2,397,478,83.1,6216,1599,41,7,11,0,11,0,0,0,2,2,0,0,0,0,5,9,2,0,6,9,66.7,3,1,2,10,21,19,0
2024,Arsenal,Premier League,Leandro Trossard,38,12,285,414,68.8,4633,1205,15,19,41,6,26,2,4,0,6,1,2,0,2,0,11,6,6,4,5,12,41.7,18,0,18,6,22,4,0
2024,Arsenal,Premier League,Fabio Vieira,5,1,113,140,80.7,1875,360,12,4,11,0,6,1,3,0,5,1,0,0,3,0,2,2,0,1,3,3,100,0,0,0,2,5,1,0
2024,Arsenal,Premier League,Ben White,8,4,1325,1568,84.5,20618,6874,118,29,49,0,43,1,0,2,3,2,0,1,0,0,19,12,15,3,15,31,48.4,30,16,14,24,54,47,1
